,username,status,gender,translated_occupation_category_encoded,age_group_encoded,filtered sentence,caption,y
274,Mew,14,0,8,2,Originally Hawaii living Lansing,man in red shirt is standing in front of an umbrella,0
275,MHB2021,15,1,12,1,Looking discreet NSA casual relationship,two girls are playing in the grass,0
276,Michael6868,14,1,1,3,Friendly clean Fun looking adventure soulmate,two girls are playing in the grass,0
277,Michael7,10,1,10,2,Old style Family Man Discipline Handsome Libra 49 Good Dad blond blue eyes 510 I like chocolate ice cream making passionate love woman home cooking eating food I passion tall average height Brunette woman Big Lips wide hip soft submissive woman wants anything else good wife mother eager please comfort man Prefer Aquarius Gemini 18 30 submissive needs loyal traditional respectful responsible kindness serious woman,man in red shirt is standing in front of crowd,0
278,MichMAP,10,0,2,3,I enjoy socializing family friends I would like meet someone trustworthy I interested independent seriousminded Male,two girls are sitting on bench in front of the water,0
279,Miguelan,10,1,14,3,Iwould like met someone share nice moments also enjoy togheter life,man in black shirt is standing next to the camera,0
280,Mike10thick,14,1,14,1,Hows goin Well Im good lol Im 31 Italian native American love laugh enjoy life I love entertain I dancer quite I open book dont hesitate ask questions,man in black shirt is standing in front of woman in black shirt and black hat,0
281,Mike166,14,1,1,0,Im Mike Finland im going Be Sweden weeks im looking fun maybe Make new friends I dont smoke drink sports every Day,two girls are playing in the grass,0
282,moneysheen50,10,1,12,3,land san miguel near esparza want make friends talk socialize planning building house near future want network friends mingle interested marriage,two girls are playing in the grass,0
283,Mony277,14,0,2,2,I person loves nature love sports travelling,man in black shirt is standing in front of wooden bench,0
284,Morenaso,14,1,8,1,I romantic ardent passionate friendly,man in black shirt is standing next to the camera,0
285,mosa,14,0,8,0,I enjoy spending time family friends listening live music patio summer Play football I like try new places see big town offer At home I enjoy gardening trying new recipes I love Sunday dinner family Its best part week,woman in black shirt is standing on the grass,0
286,MosheB,10,1,12,3,Im 72 years Observant Jew English Mothertongue Divorced many years Kohen Made Aliyah 21 years ago Philadelphia Pa Am outspoken history important issues Judaism Israel US,man in black shirt is standing next to the camera,0
287,Mred1970,14,1,14,3,Looking someone cool kind trustworthy make friends hang see happens No need rush anything I looking hook either I looking someone text forever I dont need go another place message like hangouts WhatsApp Right fine exchchange phone numbers whatever Nobody working phone dating sites talking video chat Amazing If profile picture someone besides amature porn star Instagram model please dont contact I also willing long distance relationship someone unreasonable distance away hours fine across country overseas I I work I single never married kids I dark sense humor think cynical funny gives impression I negative attitude could truth I think I hilarious Is wrong I like negative people people anger management issues There never reason behave negative ways I immediately separate type people I animal lover especially dogs I like pizza nachos motorcycles rock roll especially ounk rock old cars road trips outdoors I life long vegetarian I dont care anyone else isnt one,man in black shirt is smiling at the camera,0
288,MykleMatwaya,10,1,8,1,StraightMale 39 510 228lbs I currently reside Los Angeles California area however I come decision permanently relocate Mexico somewhere Baja Ca I seek better quality life slow enjoy humanity give back people need help I would love find someone wonderful start live new life No hook ups friends benefits casual anythings I appreciate attention compliments offers Im flattered doesnt matter say pretty youre reason I please lets waste others time I casual sex Hello thank taking time come order satisfy small curiosity I hope find information I placed convenient useful making mind whether deem worthy enough valuable time I hope enjoy appreciate find I eager begin learn Thank consideration enjoy Im liar Im cheater Im Sex Im fun either My intentions sound I lived enough understand greatest things life truly made material yet substance Amongst integrity morality modesty selflessness name These traits fake buy store imitate watching television They gifts God given either They give us much room elaborate I try sum things best I I promise honest I going make spend next moments life listening sameol tired routine sswipe writing everything thinks want hear fluffing attributes fairy tale whatever else order blow enough smoke far ss start think panties must fire Thats Im going waste time mine insulting intellect This 1st act towards order gain respect trust foundations lasting relationship thats I find All I ask return appreciate respectful courtesy I extending towards please extend courtesy Now read next fact needs made abundantly clear I nowhere close perfect anyones standards I wealthy far I struggle life like everyone else I skinny obese I muscular athletic type I however big strong healthy loyal protective Alpha Male Father I honest person understanding patient realistic I controlling abusive insecure I jealous bone body I highly emphatic ever aware care much effect I people around given place given time I thoughtless insensitive I detest rudeness despise bullying kind physical intellectual emotional whatever I wont allow take place presence I bit oldfashioned I tend romanticize world life everything offer best worst To meaning offers opportunity learning growth I believe coincidences accidents chaos chance I believe One God I know make mistakes therefore would contradicting allow If crazy mad passionate extraordinary love waste time I enough mediocre things life already I refuse allow love reduced one mediocrity I search woman knows exactly Someone struggled entire life order able hold onto true identity God given individuality order able accept person sees staring back ever looks mirror Who accept good bad Someone accepts responsibility actions choices life Someone empathy patience understanding Morality modesty selflessness Some one loves sake others merely sake I dont care doneor havent done I havent done much I one particular importance I one kind pretty much I ever likely I live life examples I set based consistency character God willing I continue day I die So biggest fight holding I already something relate I may much least I I dont compromise morality able blend everybody else All I want I ever wanted life someone treat way I treat That may sound cliché true nonetheless I easy man please The little things matter anything else I True Romantic every sense word I looking one girl read see staring back lines perhaps I already found I smoke drink drugs That mean I judge either I dont partake I dont mind smoke drink Everything best done moderation But I say I interested compteing substances person chooses loves anything else life But problem something dealbreaker either Times tough hung something one way another Im always I sports fan sorry I cant seem able give crap way whatsoever I remember time woman would relived hear However I talked attending game every often I wont pay attention If kids teams I supportive involved I I enjoy literature I like little writing time time I handy I prefer fix things I Cant dance I like cook cook Im neat person I tend keep things tidy 3 cats may sound bit excessive many pairs shoes They special nice compliment My lifestyle Im selfish man bed Im impulsive I dont jump conclusions I Muslim For religion I put I 90 people stop reading right see Muslim personal details Hopefully reading see I stand nowhere close negative stereotypes may conditioned believing us Im fanatic chauvinist controlling asshole I wasnt raised way I rational open minded nonjudgemental individual I Muslim ability subjective thought choice Not influence heredity culture No one talked thisThis isnt something I believe something I convinced I wasnt born Muslim lifestyle I Muslim family members friends That means I impress mommy daddy anyone elseTrust none like one bit This something dear makes feel better everyone else I pray 5xs day abstain certain things really arent good ways Whats beef At least I man would rather follow rules morality selfish impulses unlike inconsiderate lil shts used dating I focused disciplined much better human I ever dreamed I could And human I every really wanted And I love Muslim It important thing world But mean Your beliefs mine mine I respect choices visa versa I would like thank coming far I tried best make worth time Now thisit obvious I lazy I lack willingness considerate expressive informative I put sincere effort I pretty good writer I want happen easily And even though I capable writing enjoy much I let little secret none necessarily means I great typist even mediocre one I terrible typist even worse textr I spend much time editing tiny screens bid thumbs real pain ass frustrating That said I text little please As probably tell I problem summing things making long stories short I write Its way I text I thorough accustomed leaving important information I communicate information important component understanding Therefore want talk lets talk Offer courtesy telephone call please I already put much time effort writing alot anyone else willing So please sweetheart give ring Havent I earned I assure I far much healthy sense shame would never dream bothering another human past point interest Im stalker,man in black shirt is standing in front of store,0
289,myline_muskin,14,1,15,0,azy Nerd PC gaming boy like cats movie learning japanese drinking wine smoking Go GYM health strong lets chat,man in black shirt is sitting on bench in front of an umbrella,0
290,Nastya404,14,0,6,0,Hello Im Ukraine I came parents I running away war I want fun looking friend,man in black shirt and jeans is standing in front of an urban archway,0
291,NavyGuy,10,1,12,3,Sensual romantic man looking partner,man in black shirt is smiling,0
292,Ndulech,14,1,2,0,I one judges hold meaningful conversations There plenty find interested,two girls are playing in the grass,0
293,Neethailand,10,0,15,3,hi I nee Thailand I single mom good heart sincere honest I would like find lover life partner I grow old together,two girls are sitting on the edge of stone wall,0
294,Nefertiri,14,0,6,2,I Rashieda Yes name Islam originbut I Christian 8 yrs Due thisI disinherited familyfriends community I live elderly lady spend days aloneeven weekends Yearning partner except flaws I time waste jokers I loyaltrustworthyhonest love hard deep Yes I happy chappy everydaybut mistake kindness weakness I survived muchso face challenge headonfor nothing scares Had fair share scammer exposure long honest seekers companionsnot guys pretending someone else amuse,young boy in red bathing suit is swimming underwater,0
295,Neil30,10,1,6,2,Im coolcollective person enjoys outdoor lifeIm looking lady honest trustworthy loyal caring understanding,man in black shirt is standing in front of crowd,0
296,New42021,10,1,1,2,Well educated well established well settled great life however would better enjoyed loving woman side,man in black shirt is standing next to the camera,0
297,Nico1971,12,1,3,2,Love nature outdoors camping,man in red shirt is sitting on bench in front of some trees,0
298,Nicole221,14,0,11,2,I communicative person also easy going caring I love making presents I love surprise dearest nearest people good way course I appreciate beauty everything people love nature world around us arts simply everything I also convinced accept people way good sides flaws call pure unconditional love,two children are playing in the grass,0
299,Nicotorrandell93,14,1,15,0,I Latin America I live Canary Islands moment I like traveling adventures discovering new places I calm curious,man in red shirt is standing in front of store,0
300,Nikospain,14,1,3,3,I curious nature I like sports travel activities nature Good sense humor I speak clearlydirectly without detours openminded honest I try better person tomorrow I yesterday I like mental challenges constructive talks I looking someone similar share life,man in black shirt is standing in front of wooden bench,0
301,Niya,14,0,15,0,I fun loving young woman looking start family,two children are playing in the grass,0
302,Noble8,14,1,14,2,Slim athletic single male looking smart intelligent female helpmate life,two girls are playing in the grass,0
303,Noble888,14,1,14,2,Slim athletic male gentle seeking smart female helpmate,two girls are playing in the grass,0
304,Noevero,14,0,0,2,I love art dance dogs I want travel,man in black shirt is sitting on bench with her hand in the water,0
305,Nomcebo,14,0,15,1,I consider open I consider wellinformed I easily put trust others I consider responsible,two girls are playing in the grass,0
306,Nysalvadoreno3,14,1,6,1,Youve got ta dance like theres nobody watching Love like youll never hurt Sing like theres nobody listening And live like heaven earth,man in red shirt is standing in front of crowd,0
307,Oldfashionromantic,10,1,12,3,I old fashion gentleman many ways,man in black shirt is smiling at the camera,0
308,Oral_Jay,10,1,14,2,Im guy enjoys music cooking nature,two girls are playing in the grass,0
309,OriettaJimenez71,13,0,2,2,I AM A QUIET WOMAN WHO APPRECIATES THE LITTLE DETAILS OF LIFE HARDWORKING HONEST LOYAL AND Q VALUES LOYALTY SOY UNA MUJER TRANQUILA QUE APRECIA LOS PEQUEÑÑOS DETALLES DE LA VIDA TRABAJADORA HONESTA LEAL Y Q VALORA LA FIDELIDAD,two girls are playing in the grass,0
310,oscarvaldivi,14,1,16,0,I spirit traveler I like much cook explore new countries cultures Lover technology dogs,man in red shirt is standing in front of an urban space,0
311,oterga5673,15,1,17,3,Hoping find chemistry feels natural start Im interested getting know someone kindhearted family oriented,man in black shirt is standing in front of woman in black shirt,0
312,O_Wil123,14,1,2,2,Im caring sensitive provider real expectations looking nice woman,man in red shirt is standing in front of crowd,0
313,Pablo92,14,1,15,0,I sincere affectionate I interested woman desire live much love give,man in red shirt is walking down the street,0
314,paloma9,14,0,2,0,Hi I girl Mexico I 23 years old although days I 24 I like dancing lot,woman in black shirt and sunglasses is sitting on bench,0
315,Paternitti1,14,1,1,1,im 33 year old white male 5 foot 6 inches hight athleticly built brown hair hazel eyes enjoy hikeing camping hunting fishing four wheeling going long walks exploring well gaming I kindhearted earth,man in red shirt is standing in front of crowd,0
316,paul63,14,1,12,3,normal fun loving guy hang ups dont like liars non demanding honest loving likes cuddle intimate chats,two girls are playing in the grass,0
317,paulbehr,14,1,2,1,I moved Cheney Im 35 I would love relationship caring loving slightly humorous individual,man in black shirt is standing in front of bus,0
318,Paulxx1985,14,1,17,1,I looking person I could share everyday problems someone close even end world,two girls are playing in the grass,0
319,Peabody899,14,1,10,0,I love sports I love listen female vision,two girls are playing in the grass,0
320,Pearson73,10,1,14,2,Im trying live everyday positive note hoping find special someone thats perspective outlook,man is eating in the snow,0
321,PenelopePitstop,10,0,7,3,British expat Lady seeking Older battle worn Knight Loves countryside horses farming cattle dinner parties gatherings friends family Opera concerts reading stories fire course candle light making love storm er inside cosy bed actually storm Born London educated South East asia europe due fathers work government Old school codes yet big sense humour fun Strong minded organised Been single 9 years due divorce taking care youngest son Ready last leg life amazing bright attractive strong old fashioned well heeled successful man willing relocate Currently South America finishing researchwriting project,two girls are playing in the grass,0
322,PetieQ,14,0,6,3,I love nature hiking camping swimming Also walking bike riding exploring traveling I hobbies I enjoy sense humor like laugh easily amused lighthearted fun loving looking long term relationship build friendship new memories together Love sky rain stars storms I romantic heart honest real caring loving also want drama Looking real,two girls are playing in the grass,0
323,Pleasureufirst,14,1,1,1,Hello I never done online thing Sounds exciting naughty,two girls are playing in the grass,0
324,Poorgodzilla,14,1,19,2,I sincere honest caring passionate courteous laidback faithful playful comedic loyal determined individual Self sufficient wheelchair bound someone need babying taken care like invalid Someone looking genuine love affection sincere attraction mutual marital intentions Im looking personality like mine Libra Horoscope speaking wanting meet quickly Ive spent much time searching forgive I come across desperate wanting waste much time getting know correspondence I prefer face face really getting know someone I believe learn faster get impressions feelings attraction indications Im one expect intimacy right away fact I find complicates reason dating find forever lover Im looking person knows well knows instantly first meeting future someone determine person meet standards Not someone could make train ideal mate Children welcome I would welcome someone wanting children I dont know possible based many variables Age ability factors Hoping married within six months year long many years left enjoy sharing someone Im old fashioned many ways,man in red shirt is walking through the street,0
325,PrepperDad,14,1,14,3,Im hardworking man strings attached single I consider fun going,man in black shirt is standing in front of woman in black shirt and black jacket,0
326,pri,14,0,8,0,I new beginning life I want meet positive people learn,man in red shirt and black shorts is walking down the street,0
327,puntagorda,10,1,11,3,Latino retired looking find interest lady meet Should good sence humor stamina open mind,two girls are playing in the grass,0
328,rajsingh1972,14,1,14,2,amm caring loving man love humour makes priority love respect women,two girls are playing in the grass,0
329,RalphNord,10,1,9,3,Former engineer security I like science technology music internet Looking nice woman serious relationship,man in black shirt is standing in front of woman in black shirt,0
330,RangerScott,13,1,16,3,Love outdoors relaxing around house,man in black shirt and black shorts is sitting on bench,0
331,rayne,10,1,14,3,I degreed professional musician I play mostly studio I aid running 4 businesses shipping manufacturing promotions insurance adjusting industries I love believe family good conversation,man in black shirt is smiling at the camera,0
332,realdeal,13,1,18,2,Recently separated still hurting little Looking someone talk friends hopefully lead something amazing,two girls are playing in the grass,0
333,RedOakTree231,10,1,12,3,Open Minded Honest Trustworthy,man in black shirt is standing on the grass,0
334,rgr6275,14,1,14,2,I single never married kids I well educated decent job like respect friends family I working one premium alcoholic beverages company take care export marketing If interested friends start grow older together hand hand I serious search life partner lead marriage I dont drink alcohol give good company friends drink alcohol,man in black shirt is smiling at the camera,0
335,rhona1973,15,0,14,2,Loving caring earth honest spiritual,two girls are playing in the grass,0
336,Richmulder,14,1,1,2,I like riding motorcycle camping riding motorcycle I say I love riding motorcycle lol Im around fun guy,man in black shirt is standing in front of store,0
337,RichNLove,14,1,6,3,I guy romantic affectionate loving giving My personality affectionate loving giving I seek also find lady also loving affectionate happy romantic I like lady enjoys holding hands cuddling kissing loves treated precious sweetheart,man in black shirt is standing in front of woman in black shirt and black hat,0
338,rick1957,13,1,8,3,good listener good lover,man in red shirt is standing in front of crowd,0
339,Riley4501,14,0,8,3,I really love mountains camping 4 Wheelin exploring ghost towns Im animal lover dog cat I love cooking home canning cast iron junkie Im simple sassy country girl looking meet nice guy,two girls are playing in the grass,0
340,Rinaldo,14,1,3,2,Im 45 adventurouse love travel walking beach hiking people life,two girls are playing in the grass,0
341,ritchcheL,14,0,14,1,Im Christian Im looking someone faith mine,two girls are sitting on bed,0
342,Roar,14,1,4,1,Im sweet caring guy smart Gold driven romantic wat see wat get enjoying life,man in black shirt is sitting on bench with her eyes on his head,0
343,robsonruggiero,14,1,3,1,I brazilian work mechanical engineer Dont kids I dog lover I like read travel friends family,two girls are playing in the grass,0
344,RockNRollHottie45,14,0,8,2,I live ohio But hot friend Mississippi So I want hot southern man Im working full time house car Im little heavy Im sweet loving caring I willing relocate right man I work full time medical assistant I kids I dogs Im looking man go things I prefer tall thin man 60 62 Thin smoking hot I working self lose weight Im happy Im changing diet around I fit active Im independent strong willed cant handle Im,two girls are playing in the grass,0
345,Rollies,10,1,12,3,Kind trustworthy loyal caring good looking man kids long time need someone special,two girls are playing in the grass,0
346,Ronnin,15,1,12,3,Hi Im looking free SPIRIT LIKES MOTORCYCLES AND TRAVELLING,man in black shirt is standing in front of crowd,0
347,Rosee,10,0,14,0,I like sports travel I looking person get married children husband smart start business,two girls are playing in field,0
348,sabdulwahid99,14,1,2,0,I 21 years old want find girl willing long distance relationship An communicate though instagram,man in black shirt is smiling at the camera,0
349,sajie,10,1,3,3,engineer syria job garment sector,man in black shirt is sitting on bench,0
350,sandralee,14,0,2,0,Im really chill person looking someone chill Im somehow introverted itll really great I found somebody like,two girls are playing in the tub,0
351,Sandy1972,14,0,2,2,I consider honest hate lies Looking man love share rest life Im lovely person high ability love,man in red shirt is standing on the edge of rock formation,0
352,Sap1,13,1,1,2,Im honest hard working man I think relationships built honesty trust I like shoot poolfish relax home,two girls are playing in the grass,0
353,Sarah333,10,0,14,2,Single lady seeking honest genuine guy long term commitment,woman in black shirt and sunglasses is sitting on bench,0
354,scania,13,1,18,3,motorcyclework lot,two girls are playing in the grass,0
355,Scott900,15,1,12,3,Im scott loving caring honest trustworthy love fishing camping swimming pool park mountains walking beach watching movies playing music guitar dining spending time family friends,two girls are playing in the snow,0
356,SeanW030,10,1,12,3,Looking someone fun friendship Like travel explore go dinner ever,man in black shirt is standing in front of crowd,0
357,seeker2021,14,1,15,2,Lonely guy Israel russian origin seeking MrsRight,man in black shirt is smiling,0
358,Senseyou,10,1,6,3,I love satisfy womanto give Pleasure sexual intellectual emotional I already know This would make happyalive proud masculinity And This happen I look I listen I talk herjust understand one thing wants needs dreams I could help I know shes waiting ME life So My Love let get Youit right time,man is sitting on dock overlooking the ocean,0
359,Serena10,10,0,6,2,I woman substance I meets eye I value love friendship honesty trust My biggest trophy heart,two girls are playing in the grass,0
360,Serenityriver,14,0,15,2,Single fun christian female seeking respectful male marriage I unequally yoked,man in red shirt is standing in front of large building,0
361,SERGI,14,1,14,1,In personal form I like lot theater I like cinema I like make sport I like nature I would like many children I like good food I Very Romantic I Very Retailer I Very Noble I Very Honest I like Work I like Amusement I consider self Good Man In city I Respected I dont smoke I dont drink I dont like injustices,two girls are playing in the grass,0
362,sgtdevildog,14,1,12,1,I coming Puerto Rico Jan 5th Jan 12th 2020 I retired Marine Corps I also Masters Degree I traveled world never Puerto Rico I looking beautiful intelligent young slim woman marry start life,two girls are playing in the grass,0
363,Sha218,14,0,6,1,Ambivert ENFJ Sapiophile,two girls are playing in the grass,0
364,Shaheen20,14,1,2,2,I Earth peopleoriented person I avid reader watch TV I love aspects Nature including walking tall dangerous mountains I go walk 45 times per week enjoy wonderful health,two girls are playing in the grass,0
365,Shawnte45,14,0,19,2,Hello name shawntei 45 years single white femalei bbwbeautiful I laid backfunnyhonesteasy get along withi looking 1 night standif u r serious want get know send message,two girls are playing in the grass,0
366,Shine,14,0,2,1,Im fun I love enjoy long talks n meet new people hopefully met great people,two girls are sitting on the floor with her hair,0
367,Sigmaori,10,1,7,1,Hi I born country longer exists Spent good years life University watching others graduate mind historical hindsight even I graduated wouldnt helped way SoI opted adventure socalled poor mans tourism I emigrated New Zealand I enough place I tried Australia After successfully ending short marriage I returned scrounge parents I find normal people boring Id happy hang minority ladies,man in black shirt is sitting on bench in front of an umbrella,0
368,Silas87,14,1,6,1,Outgoing loving caring compassionate individual Very active love gym outdoor activities love music,man in black shirt and sunglasses is sitting on bench,0
369,sillirabitt1,10,1,12,3,easy going type guy go flow like beach mountains going eat like getaways know,two girls are playing in the grass,0
370,Silverlake127,10,1,12,3,Agile loves walking camper van touring,man in red shirt is standing on bench next to the water,0
371,Singlefreeman,14,1,14,1,Im single free man im Morocco im open minded like meet new people around world discovering new cultures traditions im meeting single woman fun spend time together feel free,man in red shirt is standing on the sidewalk,0
372,Sissy,15,0,12,3,A widow 3 sons one living w Am Christian Pentecostal searching friendship possible serious relationship marriage man also Christian companion life Am loving humble optimistic downtoearth I woman integrity good heartsimple dependable sincere trustworthyi fun looking longlasting relationship man trustworthy honest optimistic like love inspiring people keeping smilei woman u lean u downIf interested know u email mei cant answer message bec yet upgradedthank u God bless,two girls are playing in the grass,0
373,Sleven68,14,1,15,0,Been traveling United States awhile landed trying make new friends,two girls are playing in the grass,0
374,sojerseybill,14,1,12,3,Im told I dont look age I definitely dont act age,man in red shirt is standing in front of large building,0
375,Solesitava,14,0,2,0,Here meet New people lean New language,two girls are playing in the street,0
376,Southern56,14,1,3,3,Well laid back earth love outdoors life arguing fighting I like keep stress level much possible,man in red shirt is sitting on bench in front of large building,0
377,spokkes,10,1,6,2,I easy going laid back Looking best friend I enjoy cooking cleaning sports spending time kids,man is petting dog,0
378,Stanleyadamson,11,1,14,1,Just ordinary citizen believes changing world one step time,two girls are playing in the grass,0
379,stardust64,10,0,12,3,Im divorced woman children grown ready real chance love,man in black shirt is sitting on bench in front of the water,0
380,StephanGregory,10,1,7,3,I like gardening hiking anything outdoors museums dining friends honest conversation,boy is swimming underwater in pool,0
381,Stewy66,10,1,14,3,Hello ladie Im stewy66 lm looking last everything I live rural Australia I look forward hearing soon Thank Stewy66,man in black shirt is standing in front of group of people,0
382,suhoylog,14,1,12,3,like read history investment research,two girls are playing in the grass,0
383,Sui,15,1,14,3,A picture worth ten thousand words I neat healthy single gentleman I neat I style I healthy I eat healthy foods bad habit I gentlemen I character I good manners I respect others take responsibility I feel look young lots energy I optimist humor sense I enjoy life tennis swimming ski favorite entertainments sports I believe There one happiness lifeto love loved The important thing life learn give love let come Did I miss something,man in black shirt is sitting on bench in front of crowd,0
384,suilvi,14,1,14,1,hello iam single man iam looking serious woman serious relationship,man in black shirt is standing in front of building,0
385,Sunilfree,13,1,15,1,Looking girl valencia date friendship,man in red shirt is walking down the street,0
386,sunriseseeking,10,0,19,3,I girl moved big city looking lasting relationship andor whole lot dates,two girls are sitting on the floor,0
387,Swampyscot,13,1,2,2,Hello im tall educated scotsman living nead frankfurt Im 18ocm tall slim athletic I would delighted hear I love reading nature,man in black shirt is smiling and holding up cigarette,0
388,Swfl40,14,1,1,1,Im Philadelphia originally I living south west Florida Im 61215 lbsI tattoo I lot I anything house creative good hands,two girls are playing in the grass,0
389,Swimmer1,14,1,16,2,I computer tech guy likes traveling outdoor activities cooking music Alternative Rock Country Slows fan movies different genres,man in black shirt is sitting on bench with her dog,0
390,tabegenus,14,1,15,1,Am cool loving caring guy sense honour,two girls are playing in the grass,0
391,Talby,14,1,1,2,Im model Im honest loyal I wont make things conversation I like play pranks And I wont date woman birth date 26th March dated 3 women birth date none ended well,man in black shirt is eating,0
392,Tarmus,14,1,4,3,I honest right start I meet I want textationship In opinion cant KNOW someone never met person I meet Im fan huge convoluted texting odysseys l looking real woman As face face eye eye,man in red shirt is sitting on rock overlooking the ocean,0
393,Tatiana98,14,0,2,0,Trans,man in red shirt is standing in front of wooden bench,0
394,TaurusLady64,14,0,18,3,Been single four years children Im romantic honest passionate loyal faithful trustworthy,man in black shirt is standing in front of crowd,0
395,Tennybear33,14,1,0,1,Im hardworkinglovingself motivating individualwho true love one Im search loyal truthful woman,two girls are playing in the grass,0
396,Tg4372,14,1,15,2,I 48 yrs single dad 2 adult children loyal honest truthful respectful single last 8yrs son house I looking relationship,man in black shirt is standing in front of crowd,0
397,THE1,14,1,10,3,tall good looking intelligent family orientedask additional info,two girls are playing in the grass,0
398,TheFallen7404,14,1,3,1,Single father two wonderful kiddos Work full time house car Lol,man in black shirt is smiling at the camera,0
399,Thelastcowboy,10,1,9,3,Ride hard keep promises arrive time deliver goods Take care loved ones never take cant afford never strike cant strike back Im six foot five broad shoulders short red hair I dont yell strike I love Im quiet capable man I love long deep conversations give night sky cold beer good music better conversation thats makings epic night Who knows would end,man in black shirt and black shorts is sitting on bench,0
400,THEMBANATZ,14,1,14,0,Loving caring honest hard worker committed romantic talkative,man in red shirt is standing in front of crowd,0
401,theMexican77,10,1,6,2,honest loyal funny,two girls are playing in the grass,0
402,the_a_lister01,10,1,15,2,Hi Not Aussies say Gday Lol I like travelling camping eating enjoying life The thing missing special female share life I love UK I would love meet female UK My family history Scottish English I home I good paying job security I wont go I dont want bore If would like know please contact back Have great day,man in black shirt is sitting on bench,0
403,Thruhiker,10,1,12,3,63 yr old I walked Key West Florida Fort Kent Maine 2018 overdose awareness,man in black shirt is smiling,0
404,tmj39,10,0,8,1,I learned appreciate life I honest caring I love outdoors painting keeping busy,man in black shirt is standing in front of crowd,0
405,Tom3tone,10,1,3,3,Very easy going kind shy first looking friend,two girls are playing in the grass,0
406,tony111,14,1,6,2,Hi ladies Im Tony London im single serious caring honest open minded kind hearted open minded understanding want get know better please send message best regards Tony,two girls are playing in the grass,0
407,Trills,14,1,18,2,Well straightforward outgoing sont like liars fakes many say ask I tell,two girls are playing in the grass,0
408,Truth28,14,0,15,0,Hi I name nice meet youI loving caring person honest I wish treat I 1 daughter means world I childish behavior r grown people Have bless day lets talk interested,two girls are playing in the grass,0
409,Tyler84,14,1,1,1,Hi Im American 37 year old man 2 daughters 11 14 years old Im determined ambitious An entrepreneur business owner since I 18 years old I pretty recently given women Ive able find one honest communicate also mature Ive researched family tree Ancestrycom found much roots originate Niedersachsen Lower Saxony Germany I find fascinating discovered would happy meet woman Germany potentially start something friendship romance dating possibly one day marriage Please Im real sincere women interested Thanks,man in red shirt is standing on bench next to the water,0
410,Tyscott,14,1,3,1,In va working lonely looking woman fun,two girls are playing in the grass,0
411,Ugo,14,1,14,1,A trained teacher exbanker,man in red shirt is walking down the street,0
412,UkrainianGirl22,14,0,15,0,Im YouTuber Gamer Artist,man in black shirt is standing in front of building,0
413,Ustraveler,13,1,3,1,I separated 2 kids I travel work I engineer also starting business I tattoos blonde hair blue eyes Former Marine 511 190lbs,man in red shirt is sitting on bench in front of the water,0
414,Vasilisa,10,0,2,2,I shy first get know youll see Im nice person laid back attitude enjoys little things life I passion books I love movies Friday family I bit couch potato love stay home read watch movies make something hands And I like sea Its crush If sounds like enough interests common drop line perhaps get together one day,two girls are playing in the grass,0
415,Vaurmos,10,1,10,1,I divorced 5 years Also I havent type relationship either That means sex compassion love For past 5 years I dont nothing try raise 2 girls worked keep things going Im eclectic music style If youd like know eclectic I list asked,man in black shirt is standing in front of wooden bench,0
416,Veerybirdss3,10,0,8,2,Honest passionate laid back earth woman seeks partner,man in red shirt is standing in front of house,0
417,Vesta,10,0,10,2,I live eastern Ukraine like sports natureI vegetarian I looking man serious relationship men want play Internet love please bother,woman in black shirt and sunglasses is standing in front of the water,0
418,Victog,14,0,2,3,Spirited woman beyond face moral honest withmyself first value humanity A woman wisdom warm sensitive strong genuine Deep passionate,woman in black shirt is smiling at the camera,0
419,Vilmos,14,1,14,3,Looking woman Poland one wants move Finland My fathers family Poland Tatra area Foto comes Email,two girls are playing in the grass,0
420,waldo123456,14,1,9,2,looking lady would like man dreams,man in red shirt is standing in front of crowd,0
421,Wandda,14,1,18,0,Honesty Transparency Realness I possess three characteristics important relationship They foundation good relationship assist keeping stable,man in red shirt is standing in front of crowd,0
422,WannaBeBeachBum,13,1,14,3,Im easy going yet also bit serious side well love people sense humour zest life generally earth folk I intense dislike BS I enjoy life best I try best dodge curve balls Im new online dating thing heard negative positive points say dont high expectations never disappointed see anything comes,man in black shirt is smiling at the camera,0
423,WarmestSmile,10,0,14,3,Tell stories dreams Share words Ill share mine Looking pen pal friend talk share someone open honest sincere,two girls are playing in the grass,0
424,warrentheman,14,1,15,2,Elegant positive man charm love,man in black shirt is sitting on bench with her eyes on his head,0
425,Werdstrom69,14,1,3,1,Very single Looking get close sexy lady similar tastes No games strings unless want em,the man is wearing black jacket and hat,0
426,Whatever,14,1,3,3,Recently single looking fun girls,man in red shirt is walking down the street,0
427,Whereareyou4884,10,1,12,3,Divorced alone last 5 yrs romantic guy need lots loving Im tired alone hope perfect match,man in black shirt is standing next to the camera,0
428,Willempie,14,1,14,1,Im open minded honest person Ive got warm heart,two girls are playing in the grass,0
429,William5000187,14,1,1,1,Ive done 23 years life prison Its taken along time realize hero man I grew idolizeing man fought drank drugs broke law ran police dumbass Since realizing Ive able turn ways become productive law abiding citizen recently happened Im looking forward becoming man Im capable search woman would mean enough knowing giving someone else strength least knowing support greatly contributing persons ability overcome achieve success make want reasonabley assess person believe stand side,man in black shirt and black shirt is standing in front of woman in black shirt and black hat,0
